timestamp,actual_demand,predicted_demand,predicted_upper,renewable_generation,grid_import,bess_power,bess_soc,cost,co2_kg,price,carbon_intensity
2024-01-01 01:00:00,0.0,583.4862670898438,11107.965177798718,0.0,1200.0580745822012,-1200.0580745822012,0.5570027585426546,360.0174223746604,506.5445132811471,0.3,0.4221
2024-01-01 02:00:00,0.0,530.5133056640625,11054.992216372937,0.0,1221.5925230641542,-1221.5925230641542,0.6150284033882019,366.47775691924625,515.6342039853795,0.3,0.4221
2024-01-01 03:00:00,0.0,807.7870483398438,11332.265959048718,0.0,1379.5088155681267,-1379.5088155681267,0.6805550721276878,413.852644670438,582.2906710513063,0.3,0.4221
2024-01-01 04:00:00,0.0,749.5875244140625,11274.066435122937,0.0,1668.7787043910087,-1668.7787043910087,0.7598220605862608,500.63361131730255,704.3914911234447,0.3,0.4221
2024-01-01 05:00:00,0.0,705.8976440429688,11230.376554751843,0.0,2951.114513973457,-2951.114513973457,0.9,885.3343541920372,1245.6654363481962,0.3,0.4221
2024-01-01 06:00:00,0.0,706.5228881835938,11231.001798892468,0.0,0.0,-0.0,0.9,0.0,0.0,0.7,0.7035
2024-01-01 07:00:00,0.0,810.1488037109375,11334.627714419812,0.0,0.0,-0.0,0.9,0.0,0.0,0.7,0.7035
2024-01-01 08:00:00,0.0,998.8341674804688,11523.313078189343,0.0,0.0,-0.0,0.9,0.0,0.0,1.1,0.9849
2024-01-01 09:00:00,0.0,777.4614868164062,11301.94039752528,0.0,0.0,-0.0,0.9,0.0,0.0,1.1,0.9849
2024-01-01 10:00:00,0.0,857.7340698242188,11382.212980533093,0.0,0.0,7082.602971642733,0.5272314225451193,0.0,0.0,1.5,0.9849
2024-01-01 11:00:00,0.0,1154.4554443359375,13304.497421602555,0.0,0.0,8117.397028357266,0.1,0.0,0.0,1.5,0.9849
2024-01-01 12:00:00,0.0,824.4758911132812,11348.954801822156,0.0,8472.816322552351,-8472.816322552351,0.5024587753212367,9320.097954807587,5960.626282915579,1.1,0.7035
2024-01-01 13:00:00,0.0,1435.929931640625,16548.344214448018,0.0,8369.288940605544,-8369.288940605544,0.9,9206.217834666098,5887.794769716,1.1,0.7035
2024-01-01 14:00:00,0.0,965.9266357421875,11490.405546451062,0.0,0.0,4998.073265822928,0.636943512325109,0.0,0.0,1.5,0.9849
2024-01-01 15:00:00,0.0,1085.1427001953125,12505.704163510562,0.0,0.0,4283.362000877215,0.411503407015782,0.0,0.0,1.5,0.9849
