Strategy,Annual Factor,Total Cost (CNY),Energy Cost (CNY),Demand Charge (CNY),CO2 (tons),Carbon Cost (CNY),Peak Grid (kW),Load Factor,RE Penetration (%),Grid Indep. (%),BESS Cycles,Avg SOC,NPV (CNY),Payback (yr),Cost Savings (%),CO2 Reduction (%),Peak Reduction (%)
Baseline (No Storage),1.0030917210580557,802355525.3756098,603706474.6943318,198649050.68127793,543374.2386121608,65204908.63345929,435633.88,0.196,16.77,16.77,0.0,0.0,,inf,0.0,0.0,0.0
Rule-Based Peak Shaving,1.0030917210580557,795590180.384885,596941129.6935761,198649050.68127793,541798.3343730677,65015800.14482995,435633.88,0.197,16.77,19.61,671.0,0.303,-87671750.28,23.93,0.84,0.29,0.0
Economic MPC,1.0030917210580557,807999211.689179,599659531.2886294,208339680.40054965,543665.9567433872,65239914.78914463,456885.26,0.188,16.77,21.15,604.5,0.557,-175635575.72,inf,-0.7,-0.05,-4.88
Carbon-Aware MPC,1.0030917210580557,802026042.2554448,603376991.564136,198649050.68127793,544292.8349020955,65315140.22837513,435633.88,0.197,16.77,20.24,415.5,0.651,-133293605.54,inf,0.04,-0.17,0.0
Robust MPC (Conformal),1.0030917210580557,807999211.689179,599659531.2886294,208339680.40054965,543665.9567433872,65239914.78914463,456885.26,0.188,16.77,21.15,604.5,0.557,-175635575.72,inf,-0.7,-0.05,-4.88
Stochastic MPC,1.0030917210580557,803735559.5556166,601032783.4952937,202702776.0603229,543696.3825214703,65243565.842390925,444523.63,0.193,16.77,21.18,575.0,0.464,-145411850.54,inf,-0.17,-0.06,-2.04
DRL-SAC,1.0030917210580557,789508877.6937134,589542144.2313981,199966733.46231535,540070.861971831,64808503.43661972,438523.54,0.197,16.77,23.38,917.5,0.512,-44563256.55,10.97,1.6,0.61,-0.66
